,job,company,ssn,residence,current_location,blood_group,website,username,name,sex,address,mail,birthdate
0,Information systems manager,Limón y Galindo S.C.,74484683557,"Andador Japón 700 Edif. 745 , Depto. 938
San Karla de la Montaña, PUE 23990-8894","(Decimal('82.490525'), Decimal('14.465046'))",B-,['http://www.despacho.com/'],nzayas,Nancy Polanco Zambrano,F,"Viaducto China 099 845
San Esmeralda los bajos, QRO 17681-9152",gustavo97@gmail.com,1927-10-09
1,Social worker,"Club Nieves, Orosco y Casárez",31804148976,"Boulevard Liberia 321 083
San Andrés los bajos, COAH 42164-2128","(Decimal('-12.4337855'), Decimal('-7.958629'))",AB-,['https://www.centeno.com/'],sangulo,Camila Ana María Velásquez,F,"Retorno Armenia 714 518
San Mitzy de la Montaña, TAMPS 11458-8201",ulloaenrique@yahoo.com,1967-03-17
2,Maintenance engineer,Barreto y Brito S. R.L. de C.V.,46804946997,"Avenida Sur Perea 878 412
San Gabriel de la Montaña, DF 89003","(Decimal('-39.7350345'), Decimal('74.937389'))",B-,['http://www.grupo.com/'],estebanlinares,Amanda Samaniego,F,"Eje vial Kiribati 541 Edif. 117 , Depto. 845
San Adán de la Montaña, HGO 58628-1887",tomas87@hotmail.com,1946-12-21
3,"Surveyor, mining",Salgado e Hijos,93958262920,"Callejón Sur Acevedo 538 Interior 189
San Patricia de la Montaña, CHIS 96461-7032","(Decimal('-66.2202025'), Decimal('-74.273851'))",AB-,"['https://club.com/', 'https://club.net/']",ecantu,Carlos María Eugenia Estévez,M,"Periférico Djibouti 468 Interior 942
Vieja Islas Marshall, DF 48221",qbecerra@hotmail.com,1958-06-07
4,Immigration officer,"Proyectos Botello, Mota y Tejada",94326992248,"Avenida Estados Unidos de América 794 Interior 423
Nueva Congo, JAL 53417","(Decimal('-0.235584'), Decimal('-16.163872'))",O-,"['http://industrias.com/', 'http://www.palomo.com/']",carolina87,Conchita Conchita Montes Farías,F,"Avenida Norte Valenzuela 336 Interior 272
San Patricio de la Montaña, OAX 61443",mercadoadriana@yahoo.com,1985-09-22
5,Technical sales engineer,Alonzo-Sotelo,88141571641,"Corredor Vaca 021 Interior 880
San Minerva los bajos, MICH 47523-4182","(Decimal('-39.636710'), Decimal('7.698419'))",A+,"['http://avalos-sevilla.com/', 'http://rosado-sarabia.net/', 'http://www.segura.net/']",madridbernardo,Conchita Tamez Coronado,F,"Privada Sur Rosado 870 400
San Antonia de la Montaña, BC 12792-5123",bferrer@yahoo.com,1993-08-26
6,Learning mentor,"Despacho Corona, Crespo y Espinosa",04451549515,"Privada Tlaxcala 356 Edif. 973 , Depto. 474
San Arturo los bajos, GRO 75473","(Decimal('28.1735835'), Decimal('57.751956'))",A-,['https://www.cotto.com/'],mayte72,Dr. José Emilio Serrato,F,"Periférico Sur Mota 154 Interior 155
San Zoé de la Montaña, SON 01673-1720",alonsozuniga@hotmail.com,1919-03-30
7,Volunteer coordinator,Espinoza-Cornejo y Asociados,38733142699,"Cerrada Suriname 534 491
San Cristina de la Montaña, OAX 78913","(Decimal('-32.685706'), Decimal('170.460263'))",O-,"['https://corporacin.com/', 'https://laboratorios.biz/', 'https://proyectos.com/']",villarrealespartaco,Aida Almaraz Báez,F,"Ampliación Estados Unidos de América 880 Interior 070
San Jacobo los bajos, TAMPS 80607",nancyaltamirano@gmail.com,1986-04-06
8,"Engineer, production",Dueñas-Rascón,16063976001,"Prolongación Norte Uribe 347 575
Nueva Senegal, TLAX 14536-8794","(Decimal('33.932540'), Decimal('-142.381933'))",A-,"['https://ybarra.com/', 'https://www.jaquez-arce.com/']",jassolorena,Martín José Emilio Balderas Bañuelos,F,"Callejón Túnez 825 Edif. 000 , Depto. 216
Nueva Brunei Darussalam, ZAC 01465-0224",iespinosa@gmail.com,1918-03-27
9,"Engineer, aeronautical",Rosario-Estrada,46667810371,"Callejón Quintana Roo 929 Edif. 952 , Depto. 883
Nueva Paraguay, CHIH 38213-8913","(Decimal('-2.657128'), Decimal('103.034450'))",O-,"['http://corporacin.com/', 'http://www.baez-pacheco.com/', 'https://www.sauceda.com/']",zepedaesmeralda,Gregorio Cardenas,F,"Eje vial Vanuatu 193 Interior 292
Vieja Ucrania, MOR 36719-2518",hmontano@gmail.com,1955-04-20
